"subject_id","subject_type","activity_type","test_type","meanOfMeasurements"
"1","train","standing","tBodyAcc-mean()-X",0.265696920582133
"1","train","standing","tBodyAcc-mean()-Y",-0.0182981725176081
"1","train","standing","tBodyAcc-mean()-Z",-0.10784573454611
"1","train","standing","tBodyAcc-std()-X",-0.545795331328326
"1","train","standing","tBodyAcc-std()-Y",-0.367716218227378
"1","train","standing","tBodyAcc-std()-Z",-0.502645746562824
"1","train","standing","tGravityAcc-mean()-X",0.744867411573487
"1","train","standing","tGravityAcc-mean()-Y",-0.0825562579855908
"1","train","standing","tGravityAcc-mean()-Z",0.072339870389049
"1","train","standing","tGravityAcc-std()-X",-0.959859435936599
"1","train","standing","tGravityAcc-std()-Y",-0.951150627458213
"1","train","standing","tGravityAcc-std()-Z",-0.925817590867435
"1","train","standing","tBodyAccJerk-mean()-X",0.0770930495126801
"1","train","standing","tBodyAccJerk-mean()-Y",0.0165908438802305
"1","train","standing","tBodyAccJerk-mean()-Z",-0.00910758730117003
"1","train","standing","tBodyAccJerk-std()-X",-0.524721922818732
"1","train","standing","tBodyAccJerk-std()-Y",-0.470412403511239
"1","train","standing","tBodyAccJerk-std()-Z",-0.717322274881844
"1","train","standing","tBodyGyro-mean()-X",-0.0208764064320173
"1","train","standing","tBodyGyro-mean()-Y",-0.0880722729400576
"1","train","standing","tBodyGyro-mean()-Z",0.0862641666597983
"1","train","standing","tBodyGyro-std()-X",-0.686555715201729
"1","train","standing","tBodyGyro-std()-Y",-0.450979810499568
"1","train","standing","tBodyGyro-std()-Z",-0.597496136795101
"1","train","standing","tBodyGyroJerk-mean()-X",-0.0971120197265994
"1","train","standing","tBodyGyroJerk-mean()-Y",-0.0417164808293948
"1","train","standing","tBodyGyroJerk-mean()-Z",-0.0471393985477522
"1","train","standing","tBodyGyroJerk-std()-X",-0.637812687210375
"1","train","standing","tBodyGyroJerk-std()-Y",-0.634472244550432
"1","train","standing","tBodyGyroJerk-std()-Z",-0.664591977786455
"1","train","standing","tBodyAccMag-mean()",-0.453632943768818
"1","train","standing","tBodyAccMag-std()",-0.497096402038329
"1","train","standing","tGravityAccMag-mean()",-0.453632943768818
"1","train","standing","tGravityAccMag-std()",-0.497096402038329
"1","train","standing","tBodyAccJerkMag-mean()",-0.545431612066571
